Gene stable ID	Transcript stable ID
ENSONIG00000000001	ENSONIT00000000001
ENSONIG00000000001	ENSONIT00000000002
ENSONIG00000000002	ENSONIT00000000003
ENSONIG00000000003	ENSONIT00000000004
ENSONIG00000000004	ENSONIT00000000005
ENSONIG00000000004	ENSONIT00000000006
ENSONIG00000000005	ENSONIT00000000007
ENSONIG00000000006	ENSONIT00000000008
ENSONIG00000000007	ENSONIT00000000009
ENSONIG00000000008	ENSONIT00000000010
ENSONIG00000000009	ENSONIT00000000011
ENSONIG00000000010	ENSONIT00000000012
ENSONIG00000000010	ENSONIT00000000013
ENSONIG00000000011	ENSONIT00000000014
ENSONIG00000000012	ENSONIT00000000015
ENSONIG00000000013	ENSONIT00000000016
ENSONIG00000000013	ENSONIT00000000017
ENSONIG00000000014	ENSONIT00000000018
ENSONIG00000000015	ENSONIT00000000019
ENSONIG00000000016	ENSONIT00000000020
ENSONIG00000000017	ENSONIT00000000021
ENSONIG00000000018	ENSONIT00000000022
ENSONIG00000000019	ENSONIT00000000023
ENSONIG00000000019	ENSONIT00000000024
ENSONIG00000000020	ENSONIT00000000025
ENSONIG00000000021	ENSONIT00000000026
ENSONIG00000000022	ENSONIT00000000027
ENSONIG00000000022	ENSONIT00000000028
ENSONIG00000000023	ENSONIT00000000029
ENSONIG00000000024	ENSONIT00000000030
ENSONIG00000000025	ENSONIT00000000031
ENSONIG00000000026	ENSONIT00000000032
ENSONIG00000000027	ENSONIT00000000033
ENSONIG00000000028	ENSONIT00000000034
ENSONIG00000000029	ENSONIT00000000035
ENSONIG00000000030	ENSONIT00000000036
ENSONIG00000000031	ENSONIT00000000037
ENSONIG00000000032	ENSONIT00000000038
ENSONIG00000000033	ENSONIT00000000039
ENSONIG00000000034	ENSONIT00000000040
ENSONIG00000000034	ENSONIT00000000041
ENSONIG00000000035	ENSONIT00000000042
ENSONIG00000000036	ENSONIT00000000043
ENSONIG00000000036	ENSONIT00000000044
ENSONIG00000000037	ENSONIT00000000045
ENSONIG00000000037	ENSONIT00000000046
ENSONIG00000000038	ENSONIT00000000047
ENSONIG00000000039	ENSONIT00000000048
ENSONIG00000000040	ENSONIT00000000049
ENSONIG00000000041	ENSONIT00000000050
ENSONIG00000000042	ENSONIT00000000051
ENSONIG00000000043	ENSONIT00000000052
ENSONIG00000000044	ENSONIT00000000053
ENSONIG00000000045	ENSONIT00000000054
ENSONIG00000000046	ENSONIT00000000055
ENSONIG00000000046	ENSONIT00000000056
ENSONIG00000000047	ENSONIT00000000057
ENSONIG00000000048	ENSONIT00000000058
ENSONIG00000000049	ENSONIT00000000059
ENSONIG00000000050	ENSONIT00000000060
ENSONIG00000000051	ENSONIT00000000061
ENSONIG00000000052	ENSONIT00000000062
ENSONIG00000000052	ENSONIT00000000063
ENSONIG00000000053	ENSONIT00000000064
ENSONIG00000000054	ENSONIT00000000065
ENSONIG00000000055	ENSONIT00000000066
ENSONIG00000000056	ENSONIT00000000067
ENSONIG00000000057	ENSONIT00000000068
ENSONIG00000000058	ENSONIT00000000069
ENSONIG00000000059	ENSONIT00000000070
ENSONIG00000000059	ENSONIT00000000071
ENSONIG00000000060	ENSONIT00000000072
ENSONIG00000000061	ENSONIT00000000073
ENSONIG00000000062	ENSONIT00000000074
ENSONIG00000000063	ENSONIT00000000075
ENSONIG00000000063	ENSONIT00000000076
ENSONIG00000000064	ENSONIT00000000077
ENSONIG00000000065	ENSONIT00000000078
ENSONIG00000000066	ENSONIT00000000079
ENSONIG00000000067	ENSONIT00000000080
ENSONIG00000000068	ENSONIT00000000081
ENSONIG00000000068	ENSONIT00000000082
ENSONIG00000000069	ENSONIT00000000083
ENSONIG00000000070	ENSONIT00000000084
ENSONIG00000000071	ENSONIT00000000085
ENSONIG00000000072	ENSONIT00000000086
ENSONIG00000000073	ENSONIT00000000087
ENSONIG00000000074	ENSONIT00000000088
ENSONIG00000000074	ENSONIT00000000089
ENSONIG00000000075	ENSONIT00000000090
ENSONIG00000000076	ENSONIT00000000091
ENSONIG00000000077	ENSONIT00000000092
ENSONIG00000000078	ENSONIT00000000093
ENSONIG00000000079	ENSONIT00000000094
ENSONIG00000000080	ENSONIT00000000095
ENSONIG00000000080	ENSONIT00000000096
ENSONIG00000000081	ENSONIT00000000097
ENSONIG00000000082	ENSONIT00000000098
ENSONIG00000000083	ENSONIT00000000099
ENSONIG00000000084	ENSONIT00000000100
ENSONIG00000000085	ENSONIT00000000101
ENSONIG00000000086	ENSONIT00000000102
ENSONIG00000000087	ENSONIT00000000103
ENSONIG00000000088	ENSONIT00000000104
ENSONIG00000000089	ENSONIT00000000105
ENSONIG00000000090	ENSONIT00000000106
ENSONIG00000000090	ENSONIT00000000107
ENSONIG00000000091	ENSONIT00000000108
ENSONIG00000000092	ENSONIT00000000109
ENSONIG00000000092	ENSONIT00000000110
ENSONIG00000000093	ENSONIT00000000111
ENSONIG00000000094	ENSONIT00000000112
ENSONIG00000000095	ENSONIT00000000113
ENSONIG00000000096	ENSONIT00000000114
ENSONIG00000000097	ENSONIT00000000115
ENSONIG00000000097	ENSONIT00000000116
ENSONIG00000000097	ENSONIT00000000117
ENSONIG00000000098	ENSONIT00000000118
ENSONIG00000000098	ENSONIT00000000119
ENSONIG00000000099	ENSONIT00000000120
ENSONIG00000000100	ENSONIT00000000121
ENSONIG00000000101	ENSONIT00000000122
ENSONIG00000000102	ENSONIT00000000123
ENSONIG00000000103	ENSONIT00000000124
ENSONIG00000000103	ENSONIT00000000125
ENSONIG00000000104	ENSONIT00000000126
ENSONIG00000000105	ENSONIT00000000127
ENSONIG00000000105	ENSONIT00000000128
ENSONIG00000000106	ENSONIT00000000129
ENSONIG00000000107	ENSONIT00000000130
ENSONIG00000000108	ENSONIT00000000131
ENSONIG00000000108	ENSONIT00000000132
ENSONIG00000000109	ENSONIT00000000133
ENSONIG00000000110	ENSONIT00000000134
ENSONIG00000000111	ENSONIT00000000135
ENSONIG00000000111	ENSONIT00000000136
