gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
ENSCAFG00000000001	ENSCAFT00000000001	7431.00	7206.90	351.00	4.65	2.92
ENSCAFG00000000002	ENSCAFT00000000003	942.00	717.90	0.00	0.00	0.00
ENSCAFG00000000005	ENSCAFT00000000006	1128.00	903.90	6.00	0.63	0.40
ENSCAFG00000000006	ENSCAFT00000000007	339.00	131.54	0.00	0.00	0.00
ENSCAFG00000000007	ENSCAFT00000000008	6265.00	6040.90	1035.00	16.34	10.26
ENSCAFG00000000008	ENSCAFT00000000009	1534.00	1309.90	176.96	12.89	8.09
ENSCAFG00000000009	ENSCAFT00000000011	813.00	588.92	86.11	13.95	8.76
ENSCAFG00000000010	ENSCAFT00000000012	2802.00	2577.90	3442.99	127.41	79.99
ENSCAFG00000000011	ENSCAFT00000000013,ENSCAFT00000036234	3521.84	3297.73	439.00	12.70	7.97
ENSCAFG00000000012	ENSCAFT00000000014,ENSCAFT00000042968,ENSCAFT00000046825	4498.76	4274.65	1739.58	38.82	24.37
ENSCAFG00000000013	ENSCAFT00000000017	8099.00	7874.90	17.00	0.21	0.13
ENSCAFG00000000014	ENSCAFT00000000021	468.00	248.36	0.00	0.00	0.00
ENSCAFG00000000015	ENSCAFT00000000022	1056.00	831.90	1.00	0.11	0.07
ENSCAFG00000000016	ENSCAFT00000000024,ENSCAFT00000000025	2471.00	2246.90	18.00	0.76	0.48
ENSCAFG00000000017	ENSCAFT00000000028	5010.00	4785.90	872.00	17.38	10.91
ENSCAFG00000000019	ENSCAFT00000000033,ENSCAFT00000047374	3579.91	3355.80	3067.08	87.18	54.74
ENSCAFG00000000020	ENSCAFT00000036397	3225.00	3000.90	439.00	13.95	8.76
ENSCAFG00000000021	ENSCAFT00000000035	1356.00	1131.90	323.00	27.22	17.09
ENSCAFG00000000022	ENSCAFT00000000037	10277.00	10052.90	721.00	6.84	4.30
ENSCAFG00000000024	ENSCAFT00000000039	1518.00	1293.90	14.00	1.03	0.65
ENSCAFG00000000025	ENSCAFT00000000043	1502.00	1277.90	19.00	1.42	0.89
ENSCAFG00000000026	ENSCAFT00000000044	512.00	290.68	161.05	52.88	33.20
ENSCAFG00000000027	ENSCAFT00000000045	414.00	197.74	369.74	178.49	112.06
ENSCAFG00000000028	ENSCAFT00000000046	732.00	508.06	286.00	53.72	33.72
ENSCAFG00000000029	ENSCAFT00000000047,ENSCAFT00000049738	1367.18	1143.07	1027.35	85.75	53.83
ENSCAFG00000000030	ENSCAFT00000000048	807.00	582.92	0.00	0.00	0.00
ENSCAFG00000000031	ENSCAFT00000000049	1966.00	1741.90	46.00	2.52	1.58
ENSCAFG00000000032	ENSCAFT00000000050	585.00	362.12	0.00	0.00	0.00
ENSCAFG00000000033	ENSCAFT00000000051	1458.00	1233.90	2035.41	157.37	98.80
ENSCAFG00000000034	ENSCAFT00000000052	555.00	332.62	520.16	149.25	93.70
ENSCAFG00000000035	ENSCAFT00000000053	369.00	157.26	0.00	0.00	0.00
ENSCAFG00000000036	ENSCAFT00000000054	1608.00	1383.90	56.00	3.86	2.42
ENSCAFG00000000037	ENSCAFT00000000055	8821.00	8596.90	1199.86	13.31	8.36
ENSCAFG00000000038	ENSCAFT00000000056,ENSCAFT00000047983	1307.46	1083.36	4.00	0.35	0.22
ENSCAFG00000000039	ENSCAFT00000036237	1155.00	930.90	46.00	4.71	2.96
ENSCAFG00000000040	ENSCAFT00000000060	3765.00	3540.90	32.00	0.86	0.54
ENSCAFG00000000041	ENSCAFT00000000061	468.00	248.36	0.00	0.00	0.00
ENSCAFG00000000042	ENSCAFT00000000062	855.00	630.90	0.00	0.00	0.00
ENSCAFG00000000043	ENSCAFT00000000063	1495.00	1270.90	94.00	7.06	4.43
ENSCAFG00000000044	ENSCAFT00000000065	456.00	236.97	0.00	0.00	0.00
ENSCAFG00000000045	ENSCAFT00000000064	990.00	765.90	1.00	0.12	0.08
ENSCAFG00000000047	ENSCAFT00000000067	3660.00	3435.90	20.00	0.56	0.35
ENSCAFG00000000048	ENSCAFT00000000068	393.00	178.61	0.00	0.00	0.00
ENSCAFG00000000049	ENSCAFT00000000070	1755.00	1530.90	1.00	0.06	0.04
ENSCAFG00000000051	ENSCAFT00000000071	927.00	702.90	0.00	0.00	0.00
ENSCAFG00000000052	ENSCAFT00000000075	5875.00	5650.90	10.00	0.17	0.11
ENSCAFG00000000054	ENSCAFT00000000073	642.00	418.50	5.23	1.19	0.75
ENSCAFG00000000056	ENSCAFT00000000076	2680.00	2455.90	48.27	1.87	1.18
ENSCAFG00000000058	ENSCAFT00000000078	2288.00	2063.90	13.00	0.60	0.38
ENSCAFG00000000059	ENSCAFT00000000083	2062.00	1837.90	8.00	0.42	0.26
ENSCAFG00000000060	ENSCAFT00000000089,ENSCAFT00000000090	4284.22	4060.12	134.25	3.15	1.98
ENSCAFG00000000061	ENSCAFT00000000098	378.00	165.20	225.00	130.03	81.64
ENSCAFG00000000062	ENSCAFT00000000107	1248.00	1023.90	0.00	0.00	0.00
ENSCAFG00000000063	ENSCAFT00000000100	957.00	732.90	56.00	7.29	4.58
ENSCAFG00000000064	ENSCAFT00000000112	925.00	700.90	2113.00	287.65	180.59
ENSCAFG00000000065	ENSCAFT00000000114,ENSCAFT00000048026	2201.00	1976.90	74.00	3.57	2.24
ENSCAFG00000000066	ENSCAFT00000000116	1661.00	1436.90	416.00	27.62	17.34
ENSCAFG00000000067	ENSCAFT00000000117	5156.00	4931.90	631.01	12.20	7.66
ENSCAFG00000000068	ENSCAFT00000000118,ENSCAFT00000046240	4027.78	3804.14	323.00	8.10	5.09
ENSCAFG00000000069	ENSCAFT00000000121	1509.00	1284.90	314.75	23.37	14.67
ENSCAFG00000000070	ENSCAFT00000000123	5263.00	5038.90	1878.17	35.55	22.32
